search term,sex or gender,place of birth,occupation,country of residence,religion,voice_type,ethnic group,native language,age,filename
KATY+PERRY,female,Santa Barbara,singer,United States of America,,contralto,English American,English,33.0,"Katy Perry speech at Human Rights Campaign (Mar. 18, 2017)"
Justin+Bieber,male,London,singer-songwriter,Canada,,tenor,,English,23.0,Roast of Justin Bieber - Justin Bieber - Let's Get Serious
Taylor+Swift,female,Reading,singer-songwriter,United States of America,,mezzo-soprano,,,28.0,Taylor Swift | Album of the Year | 58th GRAMMYs
Rihanna,female,Saint Michael,singer,Barbados,Christianity,mezzo-soprano,,,29.0,Rihanna at Harvard Receiving their 2017 Humanitarian of the Year Award.
Justin+Timberlake,male,Memphis,actor,United States of America,,contratenor,,,36.0,Justin Timberlake Innovator Award Acceptance Speech @ 2015 iHeartRadio Music Awards
Ellen+DeGeneres,female,Metairie,actor,United States of America,,,white people,,59.0,"In case you missed my Tulane speech, watch it here!"
Britney+Spears,female,McComb,singer,United States of America,,soprano,,,36.0,Britney Spears Acceptance Speech for Pop Artist @ PCA 2014
Cristiano+Ronaldo,male,Funchal,association football player,Portugal,Catholicism,,Portuguese people,Portuguese,32.0,Cristiano Ronaldo ● When A Man Gets Emotional ● Interviews & Speeches
Kim+Kardashian+West,female,Los Angeles,fashion designer,United States of America,Catholicism,,Armenian American,,37.0,Kim Kardashian West Speech at Variety's Power of Women
Shakira,female,Barranquilla,composer,Colombia,Catholic Church,contralto,,Spanish,40.0,Shakira's Speech at World Economic Forum 2017
Selena+Gomez,female,Texas,singer,United States of America,,mezzo-soprano,,,25.0,Selena Gomez's AMA Heartfelt Acceptance Speech 2016
Jennifer+Lopez,female,New York City,film actor,United States of America,,mezzo-soprano,,,48.0,Power of Women: Jennifer Lopez on  Lopez Family Foundation
Ariana+Grande,female,Boca Raton,singer,United States of America,,soprano,,,24.0,Ariana Grande AMAs 2016 acceptance speech Artist Of The Year (Legendado)
Demi+Lovato,female,Albuquerque,actor,United States of America,,,Italian American,,25.0,Demi Lovato's speech at the National Alliance of Mental Illness - Sept. 4th
jimmy+fallon,male,New York City,actor,United States of America,,,,,43.0,Jimmy Fallon Addresses the Events in Charlottesville
Oprah+Winfrey,female,Kosciusko,film actor,United States of America,,,African Americans,,63.0,Oprah Winfrey Harvard Commencement speech | Harvard Commencement 2013
P!nk,female,Doylestown,actor,United States of America,,contralto,,,38.0,P!nk Accepts the 'Michael Jackson Video Vanguard Award' | 2017 VMAs | MTV
Drizzy,male,Toronto,actor,Canada,,,,,31.0,Drizzy Making Speech At Canada Day 150
Bill+Gates,male,Seattle,entrepreneur,United States of America,,,Scotch-Irish American,,62.0,Bill Gates Speech at Harvard (part 1)
LeBron+James,male,Akron,basketball player,United States of America,,,African Americans,,33.0,"FNN: Lebron James Gives EMOTIONAL, Expletive-Filled Speech at Victory Celebration in Cleveland"
Bruno+Mars,male,Honolulu,singer,United States of America,,tenor,,English,32.0,Bruno Mars' Inspiring Speech subtitulado español
Kaka,male,"Gama, Federal District",association football player,Brazil,,,,,35.0,KAKA Last Chevrolet Apsara Awards 2012 Speech.
Adele,female,Tottenham,singer-songwriter,United Kingdom,,mezzo-soprano,,,29.0,Adele Wins Album Of The Year | Acceptance Speech | 59th GRAMMYs
Niall+Horan,male,Mullingar,singer,Ireland,,,,,24.0,Niall Horan's emotional speech during One Love Manchester.
Miley+Ray+Cyrus,female,Franklin,singer,United States of America,,mezzo-soprano,,,25.0,Miley Cyrus Gives Powerful Speech At AmfAR Inspiration Gala | MTV News
Alicia+Keys,female,New York City,film actor,United States of America,,contralto,African Americans,,36.0,Alicia Keys Emotional Speech | 2016 Video Music Awards | MTV
Kevin+Hart,male,North Philadelphia,actor,United States of America,,,African Americans,,38.0,KEVIN HART WINS 2017 PEOPLES CHOICE AWARD FAVORITE COMEDIC ACTOR THE ROCK FLIPS HIM OFF AT END
Pitbull,male,Miami,rapper,United States of America,,,Cuban American,,36.0,Pitbull motivational speech
Louis+Tomlinson,male,Doncaster,singer,United Kingdom,,,,,26.0,One Direction Louis Tomlinson's Speech 08.06.2014
NICKI+MINAJ,female,Port of Spain,composer,Trinidad and Tobago,Christianity,mezzo-soprano,African Americans,,35.0,Nicki Minaj gives an amazing speech while being honored by Fergie at the #FLAs2017
Neymar+Jr,male,Mogi das Cruzes,association football player,Brazil,,,,Brazilian Portuguese,25.0,Emotional Farewell Message from Neymar Jr to Barcelona 😭😭😭
Marshall+Mathers,male,St. Joseph,rapper,United States of America,,,,,45.0,Eminem - Campaign Speech
Emma+Watson,female,Paris,actor,United Kingdom,,,,,27.0,Emma Watson at the HeForShe Campaign 2014 - Official UN Video
Avril+Lavigne,female,Belleville,singer-songwriter,Canada,Christianity,contralto,English Canadian,,33.0,Avril Lavigne - Winning single and album of the year @ Juno Awards 24/04/2003
Neil+Patrick+Harris,male,Albuquerque,television actor,United States of America,,,,,44.0,The People's Choice for Favorite TV Comedy Actor is Neil Patrick Harris
daniel+tosh,male,Boppard,stand-up comedian,United States of America,,,,,42.0,Daniel Tosh at UCF 1 of 2
David+Guetta,male,Paris,disc jockey,France,,,,,50.0,"David Guetta Talks Party Drugs, Gives Advice To New DJs | Larry King Now | Ora.TV"
Conan+O'Brien,male,Brookline,television presenter,United States of America,,,,,54.0,Conan O'Brien's 2011 Dartmouth College Commencement Address
ashton+kutcher,male,Cedar Rapids,television actor,United States of America,,,,,39.0,Ashton Kutcher Speech - Teen Choice Awards (HQ)
Khloé,female,Los Angeles,actor,United States of America,,,Armenian American,,33.0,Khloe Banned From Giving Speech at Kim & Kanye’s Wedding
Kourtney+Kardashian,female,Beverly Hills,actor,United States of America,,,Armenian American,,38.0,Glamour Awards: Kourtney Kardashian shrugs off Justin Bieber question
zayn,male,Bradford,singer,United Kingdom,,tenor,,,24.0,Zayn Malik thanks One Direction in acceptance speech (FULL)
Mariah+Carey,female,Huntington,actor,United States of America,,soprano,African Americans,,47.0,Mariah Carey's best speech so far
Ed+Sheeran,male,Halifax,singer-songwriter,United Kingdom,,tenor,,,26.0,"Ed Sheeran full speech ""American Stuttering Institute Gala"" 2015"
Christina+Aguilera,female,New York City,singer,United States of America,,soprano,,,37.0,Christina Aguilera's Muhammad Ali Humanitarian of the Year Acceptance
Jim+Carrey,male,Newmarket,actor,United States of America,,,,,55.0,"Full Speech: Jim Carrey's Commencement Address at the 2014 MUM Graduation  (EN, FR, ES, RU, GR,...)"
KANYE+WEST,male,Atlanta,singer,United States of America,,,,,40.0,Kanye West's Moment | 2016 Video Music Awards | MTV
Chris+Brown,male,Tappahannock,actor,United States of America,,tenor,African Americans,,28.0,Chris Brown speech at Tidal Pop Up Show 2017
Aamir+Khan,male,Mumbai,actor,India,Islam,,,,52.0,Speech by Amir Khan
Salman+Khan,male,Indore,film actor,India,,,,,52.0,Salman Khan's FUNNIEST Speech Where He Could'nt Stop Laughing At All
AGNEZ+MO,female,Jakarta,singer,Indonesia,Christianity,,,,31.0,Global Youth Forum Bali 2012- Agnes Monica
Beyoncé+Knowles,female,Houston,record producer,United States of America,,soprano,African Americans,,36.0,CFDA Awards Fashion Icon Acceptance Speech
Blake+Shelton,male,Ada,musician,United States of America,,,,,41.0,"Blake Shelton accepts The People's Choice award for ""Favorite Album"""
Ryan+Seacrest,male,Dunwoody,television presenter,United States of America,,,,,43.0,Ryan Seacrest Commencement Address and Honorary Degree
Ivete+Sangalo,female,Juazeiro,singer,Brazil,,contralto,,,52.0,Comissária Ivete Sangalo no vôo da TAM SPEECH
Leonardo+DiCaprio,male,Los Angeles,actor,United States of America,Catholicism,,German American,English,43.0,Oscars 2016 Leonardo DiCaprio Wins best Actor - Speech 2016 VOSTFR [HD] QUALITY
Paris+Hilton,female,New York City,actor,United States of America,,,,,36.0,The Smart Paris Hilton -
will.i.am,male,East Los Angeles,singer-songwriter,United States of America,,,,,42.0,will.i.am Fireside Chat with Marc Benioff: Connections 2014
Kendall+Jenner,female,Los Angeles,socialite,United States of America,,,,,22.0,Kendall Jenner Billboard Awards One Direction Fail
Tyra+Banks,female,Inglewood,film actor,United States of America,,,African Americans,,44.0,Tyra Banks yells at girl
Snoop+Dogg,male,Long Beach,actor,United States of America,,,African Americans,,46.0,Snoop Dogg's UNEDITED Rock & Roll HOF Speech - Tupac Shakur Induction
Alejandro+Sanz,male,Madrid,singer,Spain,,,,,49.0,Alexandro Sanz Speech Berkley University boston
Ricky+Martin,male,San Juan,singer,Puerto Rico,,tenor,,,46.0,Ricky Martin at the 2010 HRC National Dinner
Ronaldinho+Gaúcho,male,Porto Alegre,association football player,Brazil,,,,,37.0,Ronaldinho The Best Player In The World 2005
Simon+Cowell,male,London Borough of Lambeth,actor,United Kingdom,,,,,58.0,Inspiring Words From Simon Cowell
Wayne+Rooney,male,Liverpool,association football player,United Kingdom,,,,,32.0,Emotional Wayne Rooney Changing Room Speech | Inside Access
Kevin+Durant,male,"Washington, D.C.",basketball player,United States of America,,,African Americans,,29.0,Kevin Durant 2013-14 MVP Speech
raditya+dika,male,Jakarta,actor,Indonesia,,,,,33.0,RADITYA DIKA NYANYI MENGENANG PINK
Kylie+Jenner,female,Calabasas,model,United States of America,,,,,20.0,Kylie Jenner talks bullying
Claudia+Leitte,female,São Gonçalo,singer,Brazil,,contralto,,,37.0,"Billboard Music Awards 2014: Pitbull, Jennifer Lopez e Claudia Leitte"
Deepika+Padukone,female,Copenhagen,actor,India,,,,,31.0,Deepika Padukone Filmfare Speech
Stephen+Fry,male,Hampstead,actor,United Kingdom,atheism,,,,60.0,"Stephen Fry's Emotional speech in a debate, with Christopher Hitchens."
Charlie+Sheen,male,New York City,actor,United States of America,,,,,52.0,Roast of Charlie Sheen (Charlie's speech legendado)
Andrés+Iniesta,male,Fuentealbilla,association football player,Spain,,,,,33.0,Emotional speech of Andres Iniesta | Tribute Xavi Hernandez Sub English
Hrithik+Roshan,male,Peru,actor,India,,,Punjabi people,,43.0,Hrithik Roshan speaks to students | GIIS leadership Lecture Series 2013 | Part 2
Luciano+Huck,male,São Paulo,television presenter,Brazil,,,,,46.0,Pete Cashmore and Luciano Huck speak at Rio + Social (PART 1)
Gerard+Piqué,male,Barcelona,association football player,Spain,,,,,30.0,Gerard Pique Celebration Speech 2016
Zac+Efron,male,San Luis Obispo,actor,United States of America,agnosticism,,,,30.0,That Awkward Moment - Zac Efron - last emotive scene
Carly+Rae+Jepsen,female,Mission,singer,Canada,,soprano,,,32.0,Barack Obama Singing Call Me Maybe by Carly Rae Jepsen
Russell+Brand,male,Grays,actor,United Kingdom,Hinduism,,,,42.0,Russell Brand - Awakened Man
JUANES,male,Medellín,singer,Colombia,,,,,45.0,SPEECH - Juanes on singing in spanish. at The 55th Annual...
Paulina+Rubio,female,Mexico City,television actor,Spain,,,,,46.0,Oswaldo Pisfil en Showbiz Tema: Paulina Rubio
Ludacris,male,Champaign,musician,United States of America,,,African Americans,,40.0,Drake Ends His Beef With Ludacris at the Billboard Music Awards | Genius News
SHAQ,male,Newark,basketball player,United States of America,Islam,,African Americans,,45.0,Shaquille O’Neal’s Basketball Hall of Fame Enshrinement Speech
Paulo+Coelho,male,Rio de Janeiro,writer,Brazil,,,,,70.0,CPEU2 - Paulo Coelho
Kelly+Clarkson,female,Fort Worth,singer,United States of America,,soprano,,,35.0,Kelly Clarkson honored for her work with XQ Super School at Variety's Power of Women
Tom+Hanks,male,Concord,film actor,United States of America,Catholic Church,,Portuguese American,,61.0,Tom Hanks Addresses the Yale Class of 2011
Usher+Raymond+IV,male,Dallas,singer,United States of America,,tenor,African Americans,,39.0,Usher Raymond IV Speaks on the Education Crisis
Akshay+Kumar,male,Amritsar,actor,Canada,,,,Punjabi,49.0,Akshay Kumar Funniest Speech for Twinkle Khanna at Vouge Beauty Awards 2017
luna+maya,female,Denpasar,actor,Indonesia,,,,,34.0,Speech by Luna Maya
Ricky+Gervais,male,Reading,actor,United Kingdom,atheism,,,,56.0,Golden Globes 2011 - Ricky Gervais Opening Monologue
Mesut+Özil,male,Gelsenkirchen,association football player,Germany,Islam,,Kurds in Syria,,29.0,Mesut Özil Arsenal Press Conference
Cem+Yılmaz,male,Istanbul,rower,Turkey,,,,,35.0,Cem Yılmaz`dan İngilizce Şov
Nick+Jonas,male,Dallas,actor,United States of America,,tenor,,,25.0,Nick Jonas - Full Address
Xabi+Alonso,male,Tolosa,association football player,Spain,,,Basque people,Basque,36.0,Xabi Alonso's Liverpool FC story | In his own words
Dwayne+Johnson,male,Hayward,actor,United States of America,Christian,,African Americans,,45.0,YOU CAN ACHIEVE ANYTHING - The Rock's Ultimate Motivational Speech for Success
Enrique+Iglesias,male,Madrid,singer,Spain,,,,Spanish,42.0,Enrique Iglesias Open up in an Interview
Stephen+Colbert,male,"Washington, D.C.",actor,United States of America,,,,,53.0,Stephen Colbert 2011 Commencement Speech at Northwestern University
Victoria+Justice,female,Hollywood,actor,United States of America,,,,,24.0,Miranda and Victoria's Speeches!
Radamel+Falcao,male,Santa Marta,association football player,Colombia,,,,,31.0,Radamel Falcao: 'Please Don't Make Me Play For Liverpool!'*
Lindsay+Lohan,female,New York City,actor,United States of America,,,,,31.0,Cady's Homecoming Speech
Austin+Mahone,male,San Antonio,singer-songwriter,United States of America,,,,English,21.0,Young Hollywood Awards-Austin Mahone speech
Victoria+Beckham,female,Harlow,singer,United Kingdom,,,,English,43.0,Victoria Beckham Smiles for Glamour's Women of the Year Awards
Trey+Songz,male,Petersburg,singer,United States of America,,tenor,African Americans,,33.0,Trey Songz Surprises East Tesch High School
Sofia+Vergara,female,Barranquilla,model,Colombia,Catholicism,,Colombians,Spanish,45.0,Sexy Sofia Vergara Funny Golden Globes Joke Blooper
Jessica+Alba,female,Pomona,actor,United States of America,,,,,36.0,Jessica Alba | The Honest Company | 2015 | Student Q&A
Rafa+Nadal,male,Manacor,tennis player,Spain,,,Hispanic,,31.0,Rafael Nadal Trophy Presentation | Australian Open 2017
Daddy+Yankee,male,Río Piedras,singer,Puerto Rico,,,,,40.0,Daddy Yankee Accepts the Voice of Music Award at the 2014 ASCAP Latin Music Awards
afgansyah+reza,male,Bandung,actor,Malaysia,,tenor,,,28.0,11Ayg   Indo Afgan
Virat+Kohli+,male,Delhi,cricketer,India,,,,,29.0,"Amir Liaqat Blasting Message To SEHWAG, RISHI KAPOOR, VIRAT KOHLI Pakistan India Final 18 June 2017"
Jessie+J,female,Chadwell Heath,singer,United Kingdom,,mezzo-soprano,,,29.0,Jessie J gives a really inspiring speech - Edinburgh Castle - 17/07/13
Vidi+Aldiano,male,Jakarta,singer,Indonesia,,,,,27.0,MAUDY AYUNDA ngerjain VIDI ALDIANO di #SalahSambung
sachin+tendulkar,male,Mumbai,cricketer,India,,,,,44.0,Sachin Tendulkar's most INSPIRATIONAL SPEECH - MUST WATCH.
Carles+Puyol,male,La Pobla de Segur,association football player,Spain,,,,,39.0,Xavi Hernandez Crying In Farewell Puyol 15/05/2014
Seth+MacFarlane,male,Kent,screenwriter,United States of America,atheism,baritone,,,44.0,"""Family Guy"" Creator Seth MacFarlane Class Day | Harvard Commencement 2006"
Thalia,female,Mexico City,film actor,United States of America,,,,,46.0,Thalia - Eres Awards 1992 (Speech & Sorbito De Champagne)
Pharrell+Williams,male,Virginia Beach,singer,United States of America,,,African Americans,,44.0,NYU Commencement 2017--Pharrell WIlliams Remarks
Joe+Jonas,male,Casa Grande,singer,United States of America,,,,,28.0,2017 Hero Award: Nick Jonas | Radio Disney Music Awards
Big+Sean,male,Detroit,rapper,United States of America,,,African Americans,,29.0,BIG SEAN - PATIENCE
Aziz+Ansari,male,Columbia,actor,United States of America,م,,Tamil American,,34.0,Aziz Ansari Is PISSED About His Britannia Award (Acceptance Speech)
Kobe+Bryant,male,Philadelphia,basketball player,United States of America,Catholicism,,African Americans,,39.0,Kobe Bryant's Final Game Farewell Speech
David+Bisbal,male,Almería,singer-songwriter,Spain,,,,,38.0,David Bisbal Performs at Festival of Media LatAm 2015
Abhishek+Bachchan+,male,Mumbai,actor,India,,,,,41.0,Sandeep Maheshwari 7 Rules of Success Inspirational Speech | Motivational Seminar
Channing+Tatum,male,Cullman,actor,United States of America,,,Irish American,,37.0,Channing Tatum Hilarious Interviews!
Robin+van+Persie,male,Rotterdam,association football player,Kingdom of the Netherlands,,,,Dutch,34.0,Robin van Persie Says 'I Will Miss Best Friend Nemanja Vidic At Manchester United'
Sonam+Kapoor,female,Chembur,film actor,India,,,Sindhi people,Hindi,32.0,Sonam Kapoor Motivational Speech | Inaugurating Neerja Bhanot's Plaque | Viralbollywood
Cody+Simpson,male,Gold Coast,singer-songwriter,Australia,,,,,20.0,'WE HAVE THE POWER TO MAKE A DIFFERENCE'  Cody Simpson speaking at the 2016 Social Good Summit
Luis+Fonsi+,male,San Juan,singer,Puerto Rico,,tenor,,,39.0,"The Voice 2017 Mark Isaiah, Luis Fonsi & Daddy Yankee - Finale: “Despacito”"
David+Luiz,male,"Diadema, São Paulo",association football player,Brazil,,,,,30.0,David Luiz  - Thank God PSG Have Not Found My Rece
Gareth+Bale,male,Cardiff,association football player,,,,,,28.0,Gareth Bale  press conference ahead of Wales v England
John+Cena,male,West Newbury,television actor,United States of America,,,,,40.0,JOHN CENA - NEVER GIVE UP | SPEECH | FULL
J.+Cole,male,Frankfurt,rapper,United States of America,,,African Americans,,32.0,J Cole - Drops The Realest Speech Ever
Elissa,female,Deir el Ahmar,singer,Lebanon,,,,,47.0,Elissa - Music awards 2006 / إليسا - جائزة أحسن مغنية عربية 2006
Miranda+Cosgrove,female,Los Angeles,actor,United States of America,,,,,24.0,Miranda and Victoria's Speeches!
John+Legend,male,Springfield,singer-songwriter,United States of America,,baritone,African Americans,,39.0,Penn's 258th Commencement Ceremony - Commencement Speaker John Legend
Eva+Longoria,female,Corpus Christi,actor,United States of America,,,,,42.0,Raw Video: Actress Eva Longoria talks about American opportunity
Karan+Johar,male,Mumbai,actor,India,,,Punjabi people,,45.0,Best of Karan Johar Speech  | Conversation With Shobhaa De | 'An Unsuitable Boy' Book Launch
David+Villa,male,Langreo,association football player,Spain,,,,,35.0,David Villa thanks the New York City FC fans
Cher+Lloyd,female,Malvern,rapper,United Kingdom,,soprano,,,24.0,Cher Lloyd speech
Jessica+Simpson,female,Abilene,singer,United States of America,,soprano,,,37.0,Operation Smile: 25th Anniversary Gala with Jessica Simpson
Nancy+Ajram,female,Achrafieh,singer,Lebanon,,,,,34.0,Nancy Ajram CNN Interview HD (Turkish Subtitles)
Anderson+Silva,male,São Paulo,boxer,Brazil,,,,,42.0,UFC 208: Anderson Silva Octagon Interview
Ricardo+Montaner,male,Valentín Alsina,singer,Venezuela,,tenor,,,60.0,Ricardo Montaner en Ke Krees
Carmelo+Anthony,male,Brooklyn,basketball player,United States of America,,,,,33.0,"[2016 ESPYs] Carmelo Anthony, Chris Paul, Dwyane Wade, & LeBron James opening segment."
Sarah+Silverman,female,Manchester,comedian,United States of America,,,American Jews,,47.0,Sarah Silverman Democratic National Convention FULL Speech 7/25/16 DNC Philadelphia
Nicole+Polizzi,female,Santiago,actor,United States of America,,,,,30.0,"Snooki Speech Angers Rutgers Students, Sparks Fee Backlash"
marcelo+tinelli,male,San Carlos de Bolívar,television presenter,Argentina,,,,,57.0,Jorge Lanata - Videomatch
Angel+Locsin,female,Bulacan,model,Philippines,,,,,32.0,Angel Locsin Best Actress Speech.mov
Queen+Latifah,female,Newark,television actor,United States of America,,,African Americans,,47.0,Lady Leshurr - Queen's Speech Ep.4
zooey+deschanel,female,Los Angeles,actor,United States of America,,,,,37.0,Zooey Deschanel - 'Eulogy' Speech (2004)
Raffi+Ahmad,male,Bandung,actor,Indonesia,,,,,30.0,Beib Beib !!YKS Raffi ahmad Feat Cinta Laura speech composing by Depri darwis
NE-YO,male,Las Vegas,singer,United States of America,,,,,38.0,"Ne-Yo talks favorite sex position, celebrity hook-ups, Mila Kunis & Rihanna"
Calvin+Harris,male,Dumfries,disc jockey,United Kingdom,,,,,33.0,Calvin Harris Wins Best Male Video | 2016 Video Music Awards | MTV
Richard+Branson,male,Blackheath,entrepreneur,United Kingdom,atheism,,,,67.0,Richard Branson's MOTIVATIONAL SPEECHES - #MentorMeRichard
Ciara,female,Austin,singer,United States of America,,soprano,African Americans,,32.0,Ciara - Speechless
Steve+Martin,male,Waco,television actor,United States of America,,,English American,,72.0,Steve Martin receives an Honorary Award at the 2013 Governors Awards
Olly+Murs,male,Witham,choreographer,United Kingdom,,,,,33.0,Glamour Awards 2017: Olly Murs 'storms off' during chat with Emma Willis
fearne+cotton,female,Northwood,television presenter,United Kingdom,,,,,36.0,Keith Lemon & Fearne Cotton Recreate The Adele Brits Speech - Celebrity Juice
Rio+Ferdinand,male,Denmark Hill,association football player,United Kingdom,,,,,39.0,Amazing Rio Ferdinand Q + A with England U16s | Inside Access
Floyd+Mayweather,male,Grand Rapids,boxer,United States of America,,,,,40.0,Watch Mayweather's emotional final press conference speech= Mayweather vs Berto Full Video
Luke+Hemmings,male,Sydney,singer,Australia,,,,,21.0,5 Seconds of Summer - Luke Hemmings' Speech (Live in Malaysia)
shireen+sungkar,female,Jakarta,actor,Indonesia,,,,,25.0,Shireen's Speech
Jessica+Iskandar,female,Jakarta,actor,Indonesia,,,,,29.0,"LAUNCHING LAPTOP SULTAN feat JodieMotovlogHD, Eka Gustiwana & Jessica Iskandar"
Anderson+Cooper,male,New York City,journalist,United States of America,,,,,50.0,Anderson Cooper's Magnificent Response To Trump After Another 'Shocking Speech' (FULL)
Mario+Teguh,male,Makassar,consultant,Indonesia,,,,,61.0,Mario Teguh Nyanyi - Everyday Selalu SUPER (@EkaGustiwana)
Farhan+Akhtar,male,Mumbai,actor,India,,,,,43.0,Farhan Akhtar Speech At Global Citizen India | Viralbollywood
Jennette+McCurdy,female,Long Beach,actor,United States of America,,,,,25.0,Jennette McCurdy speech at McCurdicon
Gusttavo+Lima,male,Presidente Olegário,singer,Brazil,,,,,28.0,GUSTTAVO LIMA - NOTAS ALTAS (DIZ PRA MIM) - AO VIVO
Nicole+Scherzinger,female,Honolulu,actor,United States of America,,,,,39.0,Nicole Scherzinger Nails These Celebrity Impressions!
Amr+Khaled,male,Alexandria,accountant,Egypt,Islam,,,,50.0,One on One - Amr Khaled
Meek+Mill,male,Philadelphia,rapper,United States of America,,,African Americans,,30.0,Meek Mill- Motivational talk
Iker+Casillas,male,Móstoles,association football player,Spain,,,,,36.0,"Iker Casillas full farewell speech, english subtitles"
Rita+Ora,female,Prishtina,singer-songwriter,United Kingdom,Catholic Church,mezzo-soprano,,,27.0,Rita Ora: As a refugee you never want to hear the words 'get out'
Luisana+Lopilato,female,Buenos Aires,actor,Argentina,,mezzo-soprano,,,30.0,Michael Bublé se emocionó al reaparecer tras el cáncer que superó Noah
Nick+Cannon,male,San Diego,screenwriter,United States of America,,,African Americans,,37.0,Nick Cannon - Stand For What
Bambang+Pamungkas,male,Semarang,association football player,Indonesia,,,,,37.0,Episode 6 #BattleOfLife Bepe Ditolak Diklat Salatiga
Sandy+Leah,female,Campinas,singer,Brazil,,soprano,,,34.0,SANDY - MELHORES NOTAS ALTAS EM VOZ DE CABEÇA
Miranda+Lambert,female,Longview,singer-songwriter,United States of America,,,,,34.0,Miranda Lambert Gets Emotional During Historic 2017 CMAs Acceptance Speech
Nash+Grier,male,Greensboro,Internet celebrity,United States of America,,,,,20.0,The Win Back Speech Subtitulado en Español [Nash Grier]
bunga+citra+lestari,female,Jakarta,actor,Malaysia,,,,,34.0,"BCL, ICL"
Ben+Stiller,male,New York City,screenwriter,United States of America,,,American Jews,,52.0,2001 MTV Awards - Ben Stiller Speech
Yeng+Constantino,female,Rodriguez,singer,Philippines,,,,,29.0,YENG CONSTANTINO TESTIMONY  (NATION TRANSFORMER) by: YROCK
Mindy+Kaling,female,Cambridge,actor,United States of America,,,Indian American,,38.0,Mindy Kaling's Speech at Harvard Law School Class Day 2014
Luke+Bryan,male,Leesburg,singer-songwriter,United States of America,,,,,41.0,Luke Bryan - Wins Entertainer Of The Year? - ACM Awards 2013
David+De+Gea,male,Madrid,association football player,Spain,,,,,27.0,David De Gea Speaking English
Tiger+Woods,male,Cypress,writer,United States of America,Buddhism,,,,42.0,Tiger Woods' Press Conference Apology
Mike+Tyson,male,Brooklyn,boxer,United States of America,Islam,,,,51.0,Iron Mike Tyson Motivational Speech
Lenny+Kravitz,male,New York City,singer,United States of America,,tenor,African Americans,,53.0,Lenny Kravitz's Speech At The MTV Awards 1993
kevin+jonas,male,Teaneck,singer,United States of America,,,,,30.0,Kevin Jonas Fired!
Jonah+Hill,male,Los Angeles,actor,United States of America,,,American Jews,,34.0,Roast of James Franco - The Franco Philosophy - Uncensored
Nicole+Richie,female,Berkeley,actor,United States of America,,,,,36.0,Candidly Nicole | Nicole Richie Performs At Her Art Show | VH1
Hilary+Duff,female,Houston,actor,United States of America,,,,,30.0,Cinderella Story Locker Room
Suresh+Raina,male,Muradnagar,cricketer,India,,,,,31.0,MS Dhoni is good honest man: Suresh Raina
G-DRAGON,male,Seoul,singer,South Korea,,,,,29.0,G-Dragon 2017 M.O.T.T.E in Singapore Monologue (Concert Video)
Anna+Kendrick,female,Portland,film actor,United States of America,,,,,32.0,Anna Kendrick - Variety's Power of Women (2015)
Alan+Carr,male,Weymouth,actor,United Kingdom,,,,,41.0,Alan Carr wins Entertainment Performance Bafta - The British Academy Television Awards 2013 - BBC
Angelica+Panganiban,female,Manila,comedian,Philippines,,,,,31.0,Banana Sundae: Angelica Panganiban's Spoken Word
